Witaj w klubie;Dallas Buyers Club;2013;7/10
Znachor;;1981;7/10
Tato;;1995;7/10
Kraina lodu;Frozen;2013;5/10
Głową w mur;Gegen die Wand;2004;6/10
Gran Torino;Gran Torino;2008;7/10
Jak rozpętałem drugą wojnę światową;Jak rozpętałem drugą wojnę światową;1969;7/10
Wesele;Wesele;2004;6/10
Porachunki;The Family;2013;5/10
American Hustle;American Hustle;2013;7/10
Sekstaśma;Sex Tape;2014;4/10
Sąsiedzi;Neighbors;2014;6/10
Grand Budapest Hotel;The Grand Budapest Hotel;2014;8/10
Zacznijmy od nowa;Begin Again;2013;6/10
Milion sposobów, jak zginąć na Zachodzie;A Million Ways to Die in the West;2014;5/10
22 Jump Street;;2014;7/10
Królowie lata;The Kings of Summer;2013;7/10
Czas na miłość;About Time;2013;7/10
Wilk z Wall Street;The Wolf of Wall Street;2013;6/10
Hobbit: Pustkowie Smauga;The Hobbit: The Desolation of Smaug;2013;6/10
Sinister;Sinister;2012;6/10
Piękne istoty;Beautiful Creatures;2013;3/10
Wielkie wesele;The Big Wedding;2013;4/10
Iceman: Historia mordercy;The Iceman;2012;7/10
Przekładaniec;Layer Cake;2004;6/10
Blue Jasmine;Blue Jasmine;2013;6/10
Śliska sprawa;The Convincer;2011;5/10
Millerowie;We're the Millers;2013;7/10
Samotne śledztwo;Contre-enquête;2007;5/10
Reguła milczenia;The Company You Keep;2012;5/10
Iluzja;Now You See Me;2013;6/10
Erin Brockovich;;2000;7/10
Ocean's Twelve: Dogrywka;Ocean's Twelve;2004;6/10
Okrucieństwo nie do przyjęcia;Intolerable Cruelty;2003;5/10
Sęp;Sęp;2012;5/10
Niemożliwe;Lo Imposible;2012;6/10
Intrygant;The Informant!;2009;5/10
Columbus Circle;;2012;4/10
Trzynastka;Thirteen;2003;6/10
nieletni / pełnoletni;21 and Over;2013;4/10
Zły Mikołaj;Bad Santa;2003;6/10
Złodziej tożsamości;Identity Thief;2013;5/10
Kac Vegas III;The Hangover Part III;2013;4/10
Nine - Dziewięć;Nine;2009;5/10
U niej w domu;Dans la maison;2012;7/10
Niewygodna prawda;The Whistleblower;2010;6/10
Panaceum;Side Effects;2013;7/10
Mój rower;Mój rower;2012;7/10
Władza;Broken City;2013;6/10
Mama i ja;The Guilt Trip;2012;5/10
Bejbi blues;Bejbi blues;2012;4/10
Daję nam rok;I Give It a Year;2013;6/10
Zła kobieta;Bad Teacher;2011;4/10
Wyznania zakupoholiczki;Confessions of a Shopaholic;2009;3/10
Królewna Śnieżka;Mirror Mirror;2012;4/10
Oszukane;Oszukane;2013;5/10
Johnny English;Johnny English;2003;5/10
Chłopaki też płaczą;Forgetting Sarah Marshall;2008;4/10
Firma;The Firm;1993;7/10
Dobra partia;Save the Date;2012;6/10
Daybreakers - Świt;Daybreakers;2009;5/10
Lot;Flight;2012;7/10
Kevin sam w Nowym Jorku;Home Alone 2: Lost in New York;1992;6/10
Poranek kojota;Poranek kojota;2001;6/10
Asterix i Obelix: Misja Kleopatra;Astérix & Obélix: Mission Cléopâtre;2002;5/10
Oszukać przeznaczenie;Final Destination;2000;5/10
Szybcy i wściekli;The Fast and the Furious;2001;5/10
Katyń;Katyń;2007;6/10
Vinci;Vinci;2004;5/10
Rozmowy kontrolowane;Rozmowy kontrolowane;1991;7/10
Dorwać gringo;Get the Gringo;2012;6/10
Avengers;The Avengers;2012;5/10
Django;Django Unchained;2012;8/10
Gambit, czyli jak ograć króla;Gambit;2012;5/10
Hipnotyzer;Hypnotisören;2012;5/10
16 przecznic;16 Blocks;2006;7/10
Sex telefon;For a Good Time, Call...;2012;6/10
Hanna;;2011;6/10
Anna Karenina;Anna Karenina;2012;7/10
Jeff wraca do domu;Jeff Who Lives at Home;2011;5/10
